PCODE,SHORT_NAME,LONG_NAME,Units,Threshold_Val_txt,Threshold_Type
49309,"Carbofuran, w,gf<.7u","Carbofuran, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,18,MCL-CA
49310,"Carbaryl, w,gf<.7u","Carbaryl, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,400,HBSL
49311,"Bromoxynil, w,gf<.7u","Bromoxynil, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,10,HBSL
49312,"Aldicarb, w,gf<.7u","Aldicarb, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,7,HBSL
49313,"AldicarbSulfon,gf<.7","Aldicarb sulfone, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,7,HBSL
49314,"AldicarbSlfoxid,gf.7","Aldicarb sulfoxide, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,7,HBSL
49315,"Acifluorfen,w,gf<.7u","Acifluorfen, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter",µg/L,90,HBSL
49933,"C-14, wf","Carbon-14, water, filtered, percent modern",percent modern,,
50004,t-Butyl ethyl ether,"tert-Butyl ethyl ether, water, unfiltered, recoverable, micrograms per liter",µg/L,3,DLR
50005,Methyl pentyl ether,"Methyl tert-pentyl ether, water, unfiltered, recoverable, micrograms per liter",µg/L,,
50299,"Bendiocarb, wf","Bendiocarb, water, filtered, recoverable, micrograms per liter",µg/L,9,HBSL
50300,"Benomyl, wf","Benomyl, water, filtered, recoverable, micrograms per liter",µg/L,40,HBSL
50305,"Caffeine, wf","Caffeine, water, filtered, recoverable, micrograms per liter",µg/L,,
50306,"Chlorimuron, wf","Chlorimuron, water, filtered, recoverable, micrograms per liter",µg/L,600,HBSL
50337,"Sulfometuron, wf","Sulfometuron, water, filtered, recoverable, micrograms per liter",µg/L,2000,HBSL
50355,"OIET, wf","2-Hydroxy-4-isopropylamino-6-ethylamino-s-triazine, water, filtered, recoverable, micrograms per liter",µg/L,70,HBSL
50356,"Imazaquin, wf","Imazaquin, water, filtered, recoverable, micrograms per liter",µg/L,2000,HBSL
50364,"Nicosulfuron, wf","Nicosulfuron, water, filtered, recoverable, micrograms per liter",µg/L,9000,HBSL
50407,"Imazethapyr, wf","Imazethapyr, water, filtered, recoverable, micrograms per liter",µg/L,20000,HBSL
50471,"Propiconazole, wf","Propiconazole, water, filtered, recoverable, micrograms per liter",µg/L,70,HBSL
61159,"Tribenuron, wf","Tribenuron, water, filtered, recoverable, micrograms per liter",µg/L,6,HBSL
61209,"Perchlorate, wu","Perchlorate, water, unfiltered, micrograms per liter",µg/L,6,MCL-CA
61585,"Cyfluthrin, wf","Cyfluthrin, water, filtered, recoverable, micrograms per liter",µg/L,200,HBSL
61586,"Cypermethrin, wf","Cypermethrin, water, filtered, recoverable, micrograms per liter",µg/L,40,HBSL
61591,"Fenamiphos, wf","Fenamiphos, water, filtered, recoverable, micrograms per liter",µg/L,0.7,HBSL
61593,"Iprodione, wf","Iprodione, water, filtered, recoverable, micrograms per liter",µg/L,80,HBSL
